city,latitude,longitude,Country,Temperature,Humidity,Cloud Level,Wind Speed,Air Pressure,Date
Saskylakh,71.9167,114.0833,RU,-23.06,98.0,100.0,2.31,1020.0,1644042439.0
Chapais,49.7834,-74.8492,CA,-29.12,99.0,100.0,1.33,1026.0,1644042169.0
Les Cayes,18.2,-73.75,HT,23.19,77.0,8.0,2.29,1016.0,1644042442.0
Tasiilaq,65.6145,-37.6368,GL,-3.91,68.0,100.0,18.43,986.0,1644042443.0
Kruisfontein,-34.0033,24.7314,ZA,19.38,72.0,48.0,4.44,1022.0,1644042445.0
Qaanaaq,77.484,-69.3632,GL,-17.31,73.0,100.0,2.7,999.0,1644042446.0
Uruçuí,-7.2294,-44.5561,BR,23.58,85.0,99.0,0.69,1009.0,1644042447.0
Shenjiamen,29.9576,122.298,CN,6.26,63.0,29.0,7.92,1030.0,1644042449.0
Ponta Delgada,37.7333,-25.6667,PT,13.4,82.0,20.0,3.09,1028.0,1644042450.0
Puerto Ayora,-0.7393,-90.3518,EC,24.19,93.0,47.0,1.34,1013.0,1644042452.0
Thunder Bay,48.4001,-89.3168,CA,-25.39,80.0,0.0,2.06,1029.0,1644042453.0
Mayo,38.8876,-76.5119,US,0.41,77.0,100.0,4.92,1012.0,1644042455.0
Henties Bay,-22.116,14.2845,,19.36,84.0,92.0,2.24,1013.0,1644042456.0
Arraial do Cabo,-22.9661,-42.0278,BR,24.22,89.0,98.0,9.76,1008.0,1644042458.0
Hobart,-42.8794,147.3294,AU,20.0,64.0,40.0,0.89,1023.0,1644042460.0
Kapaa,22.0752,-159.319,US,21.81,74.0,100.0,2.06,1018.0,1644042459.0
Mandalī,33.7499,45.5541,IQ,11.0,67.0,60.0,1.78,1015.0,1644042464.0
Bluff,-46.6,168.3333,NZ,15.45,58.0,58.0,2.79,1015.0,1644042466.0
Chui,-33.6971,-53.4616,UY,20.08,94.0,49.0,1.71,1005.0,1644042467.0
Atherton,53.5237,-2.4935,GB,3.54,82.0,56.0,1.79,1016.0,1644042468.0
Castro,-24.7911,-50.0119,BR,18.51,98.0,93.0,2.28,1010.0,1644042470.0
Lorengau,-2.0226,147.2712,PG,28.87,68.0,100.0,4.55,1005.0,1644042471.0
San Policarpo,12.1791,125.5072,PH,27.29,72.0,94.0,8.54,1011.0,1644042473.0
Hobyo,5.3505,48.5268,SO,26.4,58.0,30.0,8.14,1013.0,1644042474.0
Teya,60.3778,92.6267,RU,-5.83,89.0,100.0,4.17,1021.0,1644042476.0
Thompson,55.7435,-97.8558,CA,-32.91,75.0,0.0,0.0,1021.0,1644042288.0
Khatanga,71.9667,102.5,RU,-37.58,100.0,77.0,1.08,1021.0,1644042480.0
Mar del Plata,-38.0023,-57.5575,AR,17.8,88.0,100.0,0.89,1007.0,1644042450.0
Lewiston,44.1003,-70.2148,US,-10.02,88.0,100.0,2.57,1014.0,1644042482.0
Atuona,-9.8,-139.0333,PF,25.88,77.0,18.0,8.12,1015.0,1644042484.0
Angoram,-4.0625,144.0661,PG,30.18,67.0,96.0,3.41,1005.0,1644042485.0
Padang,-0.9492,100.3543,ID,29.03,82.0,70.0,1.64,1010.0,1644042487.0
Ikornnes,62.3873,6.557,NO,2.53,72.0,97.0,2.68,984.0,1644042488.0
Atbasar,51.8,68.3333,KZ,-11.02,78.0,100.0,3.86,1026.0,1644042489.0
Methóni,36.8197,21.7049,GR,1.92,75.0,36.0,1.88,1021.0,1644042492.0
Nikolskoye,59.7035,30.7861,RU,-7.84,88.0,99.0,6.14,1004.0,1644042493.0
Kavaratti,10.5669,72.642,IN,25.58,59.0,62.0,2.36,1012.0,1644042495.0
Ponta Porã,-22.5361,-55.7256,BR,22.38,83.0,68.0,4.1,1008.0,1644042496.0
Arraias,-12.9288,-46.9437,BR,20.79,89.0,100.0,1.33,1010.0,1644042498.0
Kahului,20.8947,-156.47,US,23.04,86.0,75.0,4.63,1019.0,1644042499.0
East London,-33.0153,27.9116,ZA,19.52,94.0,100.0,1.03,1023.0,1644042462.0
Sohag,26.557,31.6948,EG,9.93,60.0,4.0,3.92,1024.0,1644042502.0
Hermanus,-34.4187,19.2345,ZA,21.0,70.0,0.0,8.82,1018.0,1644042503.0
Severo-Kuril'sk,50.6789,156.125,RU,-1.27,92.0,95.0,4.2,991.0,1644042505.0
Bethel,41.3712,-73.414,US,-5.66,83.0,75.0,3.09,1014.0,1644042506.0
Agüimes,27.9054,-15.4461,ES,16.19,32.0,0.0,2.06,1016.0,1644042507.0
Nuevo Progreso,23.1667,-97.95,MX,8.35,35.0,100.0,2.68,1039.0,1644042510.0
Chokurdakh,70.6333,147.9167,RU,-35.39,100.0,32.0,0.75,1025.0,1644042512.0
Jamestown,42.097,-79.2353,US,-10.17,85.0,100.0,4.63,1019.0,1644042447.0
New Norfolk,-42.7826,147.0587,AU,19.97,48.0,98.0,0.45,1025.0,1644042515.0
Mossamedes,-15.1961,12.1522,AO,22.08,61.0,22.0,2.06,1013.0,1644042517.0
San Cristobal,7.7669,-72.225,VE,17.84,92.0,44.0,1.32,1015.0,1644042518.0
Provideniya,64.3833,-173.3,RU,-17.51,70.0,1.0,4.91,1008.0,1644042520.0
Quelimane,-17.8786,36.8883,MZ,27.06,69.0,46.0,3.19,1011.0,1644042521.0
Barrow,71.2906,-156.7887,US,-22.99,70.0,100.0,3.09,1006.0,1644042522.0
Maceió,-9.6658,-35.7353,BR,23.69,83.0,20.0,1.54,1011.0,1644042524.0
Margate,51.3813,1.3862,GB,1.47,84.0,1.0,0.89,1023.0,1644042352.0
São Filipe,14.8961,-24.4956,CV,22.57,71.0,1.0,4.63,1013.0,1644042526.0
Bereket,39.2446,55.5154,TM,10.19,59.0,34.0,3.03,1002.0,1644042528.0
Dinājpur,25.6272,88.6386,BD,17.83,67.0,76.0,1.48,1013.0,1644042529.0
Octeville,49.6261,-1.6435,FR,3.27,81.0,20.0,4.12,1024.0,1644042532.0
Hilo,19.7297,-155.09,US,21.75,90.0,20.0,0.0,1019.0,1644042357.0
Murgūd,16.4,74.2,IN,27.68,30.0,30.0,3.25,1013.0,1644042535.0
Berlevåg,70.8578,29.0864,NO,-5.87,80.0,100.0,12.17,987.0,1644042536.0
Jalu,29.0331,21.5482,LY,9.2,77.0,0.0,2.08,1027.0,1644042537.0
Makkah al Mukarramah,21.4267,39.8261,SA,16.56,40.0,3.0,6.1,1018.0,1644042539.0
Susanville,40.4163,-120.653,US,-0.78,73.0,0.0,0.45,1032.0,1644042338.0
Flinders,-34.5833,150.8552,AU,21.52,69.0,82.0,4.92,1015.0,1644042542.0
Nyurba,63.2842,118.3319,RU,-22.42,94.0,98.0,1.58,1028.0,1644042543.0
Berëzovka,53.7214,25.4993,BY,0.92,98.0,100.0,5.67,1004.0,1644042544.0
Dunedin,-45.8742,170.5036,NZ,13.78,60.0,56.0,1.79,1015.0,1644042533.0
Mangai,-4.05,19.5333,CD,22.06,90.0,97.0,0.41,1013.0,1644042547.0
Mersing,2.4312,103.8405,MY,29.95,74.0,40.0,5.14,1009.0,1644042549.0
Fairbanks,64.8378,-147.7164,US,-15.8,79.0,100.0,0.0,1004.0,1644042550.0
Dickinson,29.4608,-95.0513,US,0.59,80.0,100.0,1.34,1036.0,1644042551.0
Tsiroanomandidy,-18.7667,46.0333,MG,22.57,86.0,90.0,3.96,1007.0,1644042554.0
Faanui,-16.4833,-151.75,PF,27.0,74.0,62.0,6.22,1015.0,1644042555.0
Dikson,73.5069,80.5464,RU,-20.87,91.0,100.0,3.13,1020.0,1644042544.0
Torbay,47.6666,-52.7314,CA,1.11,99.0,100.0,3.09,1009.0,1644042559.0
Hamilton,39.1834,-84.5333,US,-7.67,87.0,100.0,0.89,1028.0,1644042523.0
Longhua,23.6137,114.1919,CN,16.6,56.0,69.0,1.14,1023.0,1644042562.0
Aklavik,68.2191,-135.0107,CA,-30.54,90.0,6.0,8.07,1008.0,1644042539.0
Manadhoo,5.7667,73.3833,MV,27.49,67.0,24.0,4.01,1011.0,1644042565.0
Westport,41.1415,-73.3579,US,-4.15,84.0,100.0,0.89,1013.0,1644042566.0
Broome,42.2506,-75.833,US,-9.92,90.0,100.0,0.89,984.0,1644042568.0
Vardø,70.3705,31.1107,NO,-5.59,90.0,100.0,12.11,990.0,1644042569.0
Vaini,-21.2,-175.2,TO,25.09,94.0,100.0,4.12,1008.0,1644042570.0
Butaritari,3.0707,172.7902,KI,28.32,79.0,76.0,8.33,1007.0,1644042572.0
Guiratinga,-16.3494,-53.7583,BR,21.56,92.0,90.0,0.61,1011.0,1644042573.0
Nome,64.5011,-165.4064,US,-18.96,65.0,0.0,0.0,1003.0,1644042575.0
Letychiv,49.3826,27.6305,UA,-2.79,87.0,100.0,3.29,1014.0,1644042576.0
Geraldton,-28.7667,114.6,AU,40.23,11.0,0.0,8.23,1003.0,1644042578.0
Matagami,49.7502,-77.6328,CA,-28.94,76.0,0.0,1.54,1022.0,1644042579.0
Saint George,37.1041,-113.5841,US,2.44,36.0,0.0,3.13,1035.0,1644042580.0
Ketchikan,55.3422,-131.6461,US,6.26,75.0,0.0,3.09,1021.0,1644042574.0
Verāval,20.9,70.3667,IN,22.45,47.0,23.0,1.77,1014.0,1644042583.0
Saint Paul Harbor,57.79,-152.4072,US,5.73,70.0,100.0,5.14,997.0,1644042585.0
Talnakh,69.4865,88.3972,RU,-18.75,95.0,98.0,1.58,1016.0,1644042586.0
Airai,-8.9266,125.4092,TL,20.4,82.0,92.0,1.46,1008.0,1644042587.0
Primero de Marzo,-25.153,-56.928,PY,22.67,98.0,68.0,0.65,1007.0,1644042589.0
Pavlovsk,50.4578,40.1081,RU,-10.58,95.0,92.0,3.09,1014.0,1644042590.0
Kodinsk,58.6881,99.1844,RU,-6.09,91.0,100.0,3.38,1025.0,1644042592.0
Ballina,-28.8667,153.5667,AU,21.48,67.0,100.0,8.75,1011.0,1644042593.0
Nouadhibou,20.931,-17.0347,MR,18.99,37.0,7.0,4.12,1015.0,1644042595.0
Saint-Pierre,-21.3393,55.4781,RE,30.82,55.0,100.0,5.14,1005.0,1644042299.0
La Ronge,55.1001,-105.2842,CA,-21.86,71.0,100.0,3.6,1018.0,1644042597.0
Imst,47.2684,10.6698,AT,-7.61,98.0,92.0,1.15,1024.0,1644042599.0
Rājpīpla,21.8667,73.5,IN,22.96,15.0,5.0,1.16,1014.0,1644042600.0
Nanortalik,60.1432,-45.2371,GL,-10.57,60.0,58.0,17.51,1004.0,1644042603.0
Sompeta,18.9333,84.6,IN,26.84,27.0,55.0,2.64,1013.0,1644042556.0
Kez,57.8979,53.7152,RU,-3.27,96.0,100.0,2.56,1011.0,1644042606.0
Sinnamary,5.3833,-52.95,GF,24.35,89.0,47.0,3.95,1010.0,1644042609.0
Bambous Virieux,-20.3428,57.7575,MU,28.14,83.0,75.0,8.75,1010.0,1644042611.0
Tura,25.5198,90.2201,IN,15.68,81.0,70.0,2.72,1012.0,1644042612.0
Rutland,43.6167,-73.0162,US,-13.08,92.0,100.0,0.0,1017.0,1644042614.0
Meadow Lake,34.8014,-106.5436,US,-7.13,57.0,0.0,0.89,1039.0,1644042615.0
Libreville,0.3925,9.4537,GA,25.24,87.0,63.0,2.01,1011.0,1644042322.0
Ponta do Sol,32.6667,-17.1,PT,15.22,66.0,7.0,2.67,1020.0,1644042618.0
Kilindoni,-7.9139,39.6668,TZ,23.91,87.0,100.0,5.84,1013.0,1644042619.0
Tuktoyaktuk,69.4541,-133.0374,CA,-31.0,69.0,0.0,5.14,1007.0,1644042621.0
Bartlesville,36.7473,-95.9808,US,-10.22,72.0,0.0,0.0,1034.0,1644042622.0
Ugoofaaru,5.6667,73.0,MV,27.51,67.0,46.0,3.97,1011.0,1644042623.0
Chickasha,35.0526,-97.9364,US,-8.11,92.0,0.0,2.06,1034.0,1644042625.0
Daru,-9.0763,143.2092,PG,29.37,73.0,100.0,6.72,1005.0,1644042626.0
Lavrentiya,65.5833,-171.0,RU,-23.76,91.0,4.0,3.65,1011.0,1644042628.0
Baruun-Urt,46.6806,113.2792,MN,-10.75,72.0,4.0,4.05,1033.0,1644042630.0
Cidreira,-30.1811,-50.2056,BR,22.39,93.0,18.0,2.13,1005.0,1644042627.0
San Felipe,10.3399,-68.7425,VE,19.98,93.0,42.0,1.39,1014.0,1644042632.0
Hirara,24.8,125.2833,JP,18.15,59.0,75.0,7.72,1022.0,1644042615.0
Saint Anthony,45.0205,-93.218,US,-20.15,75.0,75.0,0.45,1030.0,1644042635.0
Beni Suef,29.0731,31.0979,EG,11.51,63.0,10.0,2.41,1025.0,1644042636.0
Baní,18.2833,-70.3333,DO,20.97,75.0,4.0,4.97,1016.0,1644042638.0
Cape Town,-33.9258,18.4232,ZA,20.35,62.0,0.0,2.06,1015.0,1644042640.0
Port Hedland,-20.3167,118.5667,AU,33.03,62.0,40.0,9.77,1003.0,1644042642.0
Lebu,-37.6167,-73.65,CL,13.5,90.0,3.0,7.56,1019.0,1644042643.0
Dingle,10.9995,122.6711,PH,27.29,75.0,68.0,7.66,1010.0,1644042645.0
Biltine,14.5333,20.9167,TD,16.75,19.0,6.0,9.25,1018.0,1644042646.0
Rzhev,56.2624,34.3282,RU,-13.02,99.0,98.0,2.62,1014.0,1644042648.0
Panacan,9.2463,118.4082,PH,27.71,74.0,57.0,7.88,1009.0,1644042649.0
Mahébourg,-20.4081,57.7,MU,28.16,83.0,75.0,8.75,1010.0,1644042651.0
Iqaluit,63.7506,-68.5145,CA,-29.15,57.0,100.0,1.54,1006.0,1644042612.0
Portland,45.5234,-122.6762,US,7.42,91.0,75.0,2.24,1032.0,1644042793.0
Coahuayana Viejo,18.7333,-103.6833,MX,18.81,76.0,0.0,1.51,1017.0,1644042656.0
Port Elizabeth,-33.918,25.5701,ZA,20.16,83.0,100.0,3.6,1022.0,1644042657.0
Mpika,-11.8343,31.4529,ZM,17.3,91.0,100.0,3.32,1016.0,1644042658.0
San Patricio,28.017,-97.5169,US,1.6,78.0,6.0,4.21,1038.0,1644042660.0
Narsaq,60.9167,-46.05,GL,-15.88,50.0,0.0,7.49,1004.0,1644042661.0
Lompoc,34.6391,-120.4579,US,7.44,82.0,0.0,1.54,1027.0,1644042663.0
Yellowknife,62.456,-114.3525,CA,-32.58,81.0,100.0,2.57,1026.0,1644042665.0
Faya,18.3851,42.4509,SA,15.29,55.0,8.0,3.78,1017.0,1644042666.0
Ahipara,-35.1667,173.1667,NZ,21.83,97.0,100.0,4.55,1006.0,1644042668.0
Pangnirtung,66.1451,-65.7125,CA,-32.04,99.0,100.0,0.41,1006.0,1644042669.0
Cherskiy,68.75,161.3,RU,-35.48,97.0,10.0,1.6,1026.0,1644042670.0
Dubbo,-32.25,148.6167,AU,26.07,34.0,40.0,6.69,1015.0,1644042672.0
Ceuta,35.8903,-5.3075,ES,15.01,77.0,100.0,5.86,1022.0,1644042674.0
Voinka,45.8699,33.9914,UA,-1.22,57.0,92.0,0.55,1020.0,1644042675.0
La Unión,-5.4,-80.75,PE,22.25,77.0,100.0,3.85,1013.0,1644042677.0
Armizonskoye,55.9461,67.6736,RU,-5.17,80.0,100.0,4.94,1022.0,1644042678.0
Amahai,-3.3333,128.9167,ID,29.25,70.0,100.0,0.68,1006.0,1644042680.0
Carnarvon,-24.8667,113.6333,AU,34.04,43.0,51.0,7.2,1002.0,1644042539.0
Callaway,30.153,-85.5699,US,4.32,94.0,100.0,6.71,1026.0,1644042682.0
Strășeni,47.1414,28.6103,MD,0.99,81.0,100.0,2.24,1016.0,1644042684.0
Strezhevoy,60.7333,77.5889,RU,-7.01,92.0,100.0,2.76,1022.0,1644042685.0
Howick,-29.4779,30.2306,ZA,15.01,98.0,100.0,1.29,1022.0,1644042687.0
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,AR,21.32,95.0,99.0,1.64,1008.0,1644042688.0
Mbandaka,0.0487,18.2603,CD,25.62,55.0,100.0,1.45,1012.0,1644042690.0
Ayan,56.45,138.1667,RU,-18.27,69.0,100.0,6.66,1013.0,1644042691.0
Sumé,-7.6717,-36.88,BR,20.68,86.0,7.0,3.1,1012.0,1644042693.0
Naze,28.3667,129.4833,JP,12.51,56.0,68.0,8.8,1023.0,1644042694.0
Laguna,38.421,-121.4238,US,7.32,77.0,0.0,0.0,1029.0,1644042696.0
Cockburn Town,21.4612,-71.1419,TC,24.24,73.0,0.0,7.91,1018.0,1644042697.0
Anadyr,64.75,177.4833,RU,-15.72,60.0,0.0,1.0,1015.0,1644042699.0
Tarko-Sale,64.9225,77.785,RU,-13.05,94.0,74.0,5.5,1016.0,1644042700.0
Kaitangata,-46.2817,169.8464,NZ,13.29,64.0,29.0,2.51,1015.0,1644042702.0
Forsytheganj,52.6333,29.7333,BY,-5.58,95.0,100.0,5.69,1011.0,1644042703.0
Ardakān,32.31,54.0175,IR,18.21,26.0,5.0,14.25,1003.0,1644042705.0
Dhidhdhoo,6.8833,73.1,MV,27.49,64.0,17.0,4.36,1011.0,1644042706.0
Rājāpur,25.3833,81.15,IN,21.12,38.0,0.0,3.81,1013.0,1644042709.0
Guarapari,-20.6667,-40.4975,BR,23.83,88.0,100.0,3.75,1011.0,1644042710.0
Grindavik,63.8424,-22.4338,IS,-2.74,80.0,100.0,18.01,975.0,1644042552.0
Ust-Maya,60.4167,134.5333,RU,-27.52,96.0,100.0,0.52,1029.0,1644042713.0
Srednekolymsk,67.45,153.6833,RU,-37.06,100.0,71.0,0.68,1026.0,1644042715.0
Norman Wells,65.282,-126.8329,CA,-23.48,95.0,100.0,2.27,1011.0,1644042716.0
Haines Junction,60.7522,-137.5108,CA,-25.03,77.0,100.0,0.51,1010.0,1644042718.0
Areosa,41.7178,-8.8571,PT,8.67,85.0,21.0,4.46,1027.0,1644042719.0
Darhan,49.4867,105.9228,MN,-13.13,79.0,11.0,2.84,1041.0,1644042720.0
Praia da Vitória,38.7333,-27.0667,PT,14.14,94.0,75.0,7.81,1030.0,1644042722.0
Nhulunbuy,-12.2333,136.7667,AU,31.34,62.0,75.0,2.57,1005.0,1644042723.0
Khani,41.9563,42.9566,GE,-3.24,91.0,93.0,2.82,1019.0,1644042725.0
Belyy Yar,53.6039,91.3903,RU,-18.06,78.0,95.0,0.0,1037.0,1644042626.0
Ericeira,38.9627,-9.4156,PT,10.86,93.0,22.0,6.66,1026.0,1644042728.0
Tabas,33.5959,56.9244,IR,15.25,42.0,99.0,1.89,1005.0,1644042729.0
Katsuura,35.1333,140.3,JP,5.41,40.0,55.0,2.02,1007.0,1644042731.0
Jiaxing,30.7522,120.75,CN,6.01,40.0,6.0,4.88,1031.0,1644042630.0
Fukuechō,32.6881,128.8419,JP,4.2,70.0,75.0,5.66,1023.0,1644042733.0
Montepuez,-13.1256,38.9997,MZ,25.09,77.0,100.0,2.72,1010.0,1644042735.0
Lagoa,39.05,-27.9833,PT,14.64,76.0,35.0,8.81,1030.0,1644042736.0
Korla,41.7597,86.1469,CN,-0.87,32.0,100.0,3.69,1031.0,1644042738.0
Hambantota,6.1241,81.1185,LK,32.19,62.0,20.0,2.06,1010.0,1644042739.0
Port Lincoln,-34.7333,135.8667,AU,23.91,49.0,4.0,5.17,1015.0,1644042742.0
Ol'ga,43.7444,135.2892,RU,-10.75,50.0,8.0,7.79,1011.0,1644042743.0
Am Timan,11.0297,20.2827,TD,22.25,17.0,24.0,4.74,1015.0,1644042745.0
Saint-Augustin,51.226,-58.6502,CA,-21.38,85.0,100.0,4.25,1020.0,1644042746.0
Beyneu,45.3167,55.2,KZ,4.45,85.0,100.0,5.16,1002.0,1644042747.0
Kīhei,20.785,-156.4656,US,23.11,86.0,75.0,4.63,1019.0,1644042749.0
Leshukonskoye,64.8989,45.7622,RU,-20.71,99.0,81.0,2.19,1018.0,1644042751.0
San Juan,-31.5375,-68.5364,AR,21.02,50.0,26.0,9.3,1015.0,1644042647.0
Nago,26.5881,127.9761,JP,16.64,59.0,76.0,6.73,1023.0,1644042754.0
Muroto-misakicho,33.2833,134.15,JP,8.02,45.0,82.0,10.56,1017.0,1644042756.0
Quang Ngai,15.1167,108.8,VN,19.81,94.0,100.0,2.2,1017.0,1644042757.0
Vila Franca do Campo,37.7167,-25.4333,PT,14.55,83.0,100.0,4.5,1028.0,1644042758.0
Murakami,38.2333,139.4833,JP,0.94,72.0,100.0,8.55,1011.0,1644042761.0
Shiyan,32.6475,110.7781,CN,6.96,44.0,98.0,4.79,1029.0,1644042764.0
Zaysan,47.4667,84.8667,KZ,-11.8,83.0,33.0,0.57,1036.0,1644042765.0
Matara,5.9485,80.5353,LK,30.37,57.0,37.0,3.0,1009.0,1644042767.0
Okhotsk,59.3833,143.3,RU,-15.42,73.0,100.0,5.81,1009.0,1644043137.0
Salalah,17.0151,54.0924,OM,26.05,57.0,20.0,1.03,1014.0,1644043138.0
Hofn,64.2539,-15.2082,IS,-2.84,64.0,100.0,5.41,982.0,1644043140.0
Tighina,46.8306,29.4711,MD,0.51,66.0,100.0,2.26,1017.0,1644043141.0
Martapura,-3.4167,114.85,ID,32.05,62.0,40.0,3.09,1006.0,1644043144.0
Maués,-3.3836,-57.7186,BR,21.62,99.0,100.0,0.87,1010.0,1644043145.0
Lakeway,30.3638,-97.9796,US,-2.61,84.0,0.0,0.89,1038.0,1644042969.0
Sambava,-14.2667,50.1667,MG,28.52,60.0,100.0,1.23,1004.0,1644043148.0
Batié,9.8833,-2.9167,BF,19.63,18.0,1.0,1.97,1013.0,1644042934.0
Nampula,-15.1165,39.2666,MZ,24.97,83.0,40.0,3.09,1011.0,1644043069.0
College,64.8569,-147.8028,US,-15.88,79.0,100.0,1.54,1004.0,1644043153.0
Mastic Beach,40.7668,-72.8521,US,-2.99,88.0,100.0,1.34,1014.0,1644043154.0
Ransang,8.9603,117.5828,PH,29.42,65.0,98.0,5.61,1007.0,1644043156.0
Hong Kong,22.2855,114.1577,HK,16.65,70.0,64.0,0.89,1022.0,1644042976.0
Gazojak,41.1875,61.4036,TM,9.9,35.0,91.0,6.83,1000.0,1644043159.0
Mount Isa,-20.7333,139.5,AU,32.87,19.0,5.0,4.63,1006.0,1644043160.0
Swift Current,50.2834,-107.8014,CA,-1.55,100.0,100.0,7.72,1004.0,1644043161.0
Avera,33.194,-82.5271,US,5.17,75.0,100.0,5.89,1024.0,1644043163.0
Yulara,-25.2406,130.9889,AU,30.91,15.0,0.0,4.63,1011.0,1644043164.0
Funadhoo,6.15,73.2667,MV,27.49,66.0,9.0,3.77,1011.0,1644043166.0
Tawao,4.2498,117.8871,MY,29.96,70.0,100.0,4.47,1007.0,1644043167.0
Mazagão,-0.115,-51.2894,BR,25.03,97.0,100.0,1.3,1010.0,1644043169.0
Tazovsky,67.4667,78.7,RU,-15.4,96.0,100.0,3.62,1015.0,1644043170.0
Grand Gaube,-20.0064,57.6608,MU,27.99,79.0,100.0,6.26,1010.0,1644043171.0
Soke,13.598,-5.9386,ML,18.66,15.0,0.0,4.14,1014.0,1644043173.0
City of Saint Peters,38.8003,-90.6265,US,-9.24,73.0,0.0,2.06,1034.0,1644043174.0
Bollnäs,61.3482,16.3946,SE,-2.01,83.0,46.0,3.49,988.0,1644043176.0
Kendari,-3.945,122.4989,ID,30.25,63.0,36.0,3.37,1005.0,1644043177.0
Sola,-13.8833,167.55,VU,30.37,74.0,40.0,2.57,1004.0,1644043179.0
Sioux Lookout,50.1001,-91.917,CA,-30.96,76.0,0.0,2.06,1025.0,1644043180.0
Kantunilkín,21.0917,-87.45,MX,22.91,97.0,2.0,0.74,1019.0,1644043181.0
Sibsāgar,26.9833,94.6333,IN,15.01,74.0,91.0,4.65,1013.0,1644043183.0
Beira,-19.8436,34.8389,MZ,29.05,70.0,75.0,6.17,1010.0,1644043011.0
Touros,-5.1989,-35.4608,BR,24.5,74.0,5.0,4.77,1010.0,1644043185.0
Lydenburg,-25.0978,30.4597,ZA,19.67,75.0,80.0,4.08,1018.0,1644043187.0
Coldwater,41.9403,-85.0005,US,-10.87,92.0,100.0,1.54,1024.0,1644043188.0
